tokens,words,graphemes,bytes,tokenizer,language
373,13,81,373,gpt2,tam
281,10,64,282,gpt2,tam
153,6,35,153,gpt2,tam
412,17,103,416,gpt2,tam
661,30,174,674,gpt2,tam
375,18,102,386,gpt2,tam
566,23,129,570,gpt2,tam
308,14,75,310,gpt2,tam
580,23,140,584,gpt2,tam
553,21,133,559,gpt2,tam
335,11,74,335,gpt2,tam
485,17,115,487,gpt2,tam
480,16,106,480,gpt2,tam
347,13,79,347,gpt2,tam
528,20,119,528,gpt2,tam
332,16,83,333,gpt2,tam
246,10,64,250,gpt2,tam
163,6,42,167,gpt2,tam
570,22,131,571,gpt2,tam
712,23,159,712,gpt2,tam
518,17,115,518,gpt2,tam
461,16,106,461,gpt2,tam
415,16,96,415,gpt2,tam
1122,40,257,1122,gpt2,tam
248,10,60,248,gpt2,tam
336,15,84,336,gpt2,tam
638,27,158,642,gpt2,tam
320,13,75,322,gpt2,tam
238,10,54,238,gpt2,tam
262,13,70,266,gpt2,tam
434,16,103,436,gpt2,tam
274,13,67,274,gpt2,tam
434,18,102,434,gpt2,tam
416,17,99,416,gpt2,tam
372,12,82,372,gpt2,tam
491,20,119,491,gpt2,tam
306,11,70,306,gpt2,tam
375,14,83,375,gpt2,tam
574,18,127,574,gpt2,tam
329,13,77,332,gpt2,tam
488,18,115,488,gpt2,tam
246,11,58,246,gpt2,tam
327,17,81,327,gpt2,tam
392,18,100,393,gpt2,tam
438,16,100,438,gpt2,tam
231,8,53,231,gpt2,tam
353,15,82,353,gpt2,tam
330,12,77,330,gpt2,tam
499,20,121,500,gpt2,tam
521,26,129,522,gpt2,tam
386,17,90,387,gpt2,tam
307,13,73,307,gpt2,tam
618,23,140,618,gpt2,tam
369,14,83,369,gpt2,tam
506,19,116,506,gpt2,tam
844,41,205,846,gpt2,tam
602,23,141,602,gpt2,tam
318,12,72,318,gpt2,tam
444,16,104,444,gpt2,tam
465,19,112,465,gpt2,tam
430,16,99,430,gpt2,tam
450,14,102,451,gpt2,tam
291,11,69,291,gpt2,tam
413,16,97,413,gpt2,tam
349,15,83,349,gpt2,tam
605,27,144,607,gpt2,tam
540,23,132,540,gpt2,tam
308,15,73,308,gpt2,tam
713,25,167,713,gpt2,tam
519,20,120,519,gpt2,tam
411,15,93,412,gpt2,tam
400,15,92,400,gpt2,tam
311,12,74,311,gpt2,tam
384,14,89,384,gpt2,tam
379,14,87,379,gpt2,tam
322,12,76,322,gpt2,tam
194,7,44,194,gpt2,tam
248,9,57,248,gpt2,tam
194,7,42,194,gpt2,tam
357,13,84,357,gpt2,tam
227,10,53,227,gpt2,tam
769,30,171,769,gpt2,tam
236,8,53,236,gpt2,tam
499,21,122,501,gpt2,tam
408,14,93,408,gpt2,tam
298,14,74,298,gpt2,tam
504,19,130,511,gpt2,tam
555,26,146,563,gpt2,tam
181,6,41,181,gpt2,tam
373,14,84,373,gpt2,tam
606,23,150,614,gpt2,tam
365,20,99,373,gpt2,tam
331,13,73,331,gpt2,tam
340,15,80,340,gpt2,tam
707,31,160,707,gpt2,tam
483,20,118,483,gpt2,tam
380,12,90,380,gpt2,tam
373,17,89,374,gpt2,tam
598,23,138,598,gpt2,tam
270,12,64,270,gpt2,tam
587,23,136,587,gpt2,tam
442,19,114,450,gpt2,tam
473,23,118,474,gpt2,tam
479,16,108,479,gpt2,tam
252,14,69,259,gpt2,tam
311,15,74,312,gpt2,tam
433,20,104,435,gpt2,tam
687,27,164,689,gpt2,tam
457,21,127,467,gpt2,tam
554,26,150,565,gpt2,tam
328,15,77,329,gpt2,tam
442,16,104,442,gpt2,tam
303,13,76,306,gpt2,tam
398,20,103,400,gpt2,tam
337,15,82,337,gpt2,tam
173,13,60,185,gpt2,tam
312,15,80,314,gpt2,tam
327,14,82,328,gpt2,tam
452,18,105,452,gpt2,tam
462,19,108,464,gpt2,tam
386,12,89,386,gpt2,tam
353,14,82,353,gpt2,tam
258,9,57,258,gpt2,tam
577,22,136,577,gpt2,tam
650,28,153,650,gpt2,tam
248,10,58,248,gpt2,tam
709,26,166,709,gpt2,tam
461,18,109,461,gpt2,tam
326,13,73,326,gpt2,tam
306,12,75,309,gpt2,tam
410,16,93,410,gpt2,tam
329,14,79,331,gpt2,tam
560,25,136,561,gpt2,tam
527,19,118,527,gpt2,tam
589,24,140,591,gpt2,tam
225,9,54,225,gpt2,tam
492,22,124,492,gpt2,tam
582,24,139,582,gpt2,tam
395,15,92,395,gpt2,tam
357,11,79,357,gpt2,tam
299,11,68,299,gpt2,tam
532,23,138,540,gpt2,tam
253,10,58,253,gpt2,tam
345,15,84,346,gpt2,tam
379,15,89,379,gpt2,tam
463,23,113,463,gpt2,tam
223,9,51,223,gpt2,tam
436,16,102,436,gpt2,tam
600,26,149,606,gpt2,tam
548,20,129,548,gpt2,tam
333,20,92,341,gpt2,tam
521,24,120,522,gpt2,tam
333,15,77,333,gpt2,tam
453,19,111,453,gpt2,tam
732,37,194,740,gpt2,tam
423,17,97,423,gpt2,tam
280,10,65,280,gpt2,tam
343,14,80,344,gpt2,tam
290,8,61,290,gpt2,tam
667,25,153,667,gpt2,tam
359,13,88,360,gpt2,tam
263,10,58,263,gpt2,tam
408,21,117,422,gpt2,tam
363,18,91,367,gpt2,tam
858,33,199,858,gpt2,tam
816,30,197,821,gpt2,tam
248,10,60,248,gpt2,tam
524,21,119,524,gpt2,tam
481,18,109,481,gpt2,tam
384,14,88,384,gpt2,tam
707,25,170,707,gpt2,tam
409,14,96,409,gpt2,tam
223,14,69,233,gpt2,tam
534,21,125,534,gpt2,tam
305,11,69,305,gpt2,tam
293,13,77,300,gpt2,tam
234,8,53,234,gpt2,tam
311,15,80,315,gpt2,tam
562,22,130,562,gpt2,tam
362,14,85,362,gpt2,tam
638,28,154,638,gpt2,tam
375,14,87,375,gpt2,tam
483,16,115,483,gpt2,tam
340,12,83,340,gpt2,tam
402,17,99,403,gpt2,tam
552,20,127,552,gpt2,tam
659,19,147,659,gpt2,tam
897,30,216,902,gpt2,tam
393,12,88,393,gpt2,tam
335,10,76,335,gpt2,tam
638,23,151,639,gpt2,tam
328,11,73,328,gpt2,tam
483,23,118,483,gpt2,tam
423,18,99,423,gpt2,tam
525,19,120,525,gpt2,tam
426,16,99,426,gpt2,tam
303,12,73,303,gpt2,tam
272,11,62,272,gpt2,tam
442,17,107,442,gpt2,tam
304,12,69,304,gpt2,tam
239,8,55,239,gpt2,tam
366,14,85,366,gpt2,tam
302,12,81,308,gpt2,tam
503,20,129,510,gpt2,tam
454,18,104,454,gpt2,tam
388,17,94,388,gpt2,tam
485,19,106,485,gpt2,tam
384,15,89,384,gpt2,tam
379,15,89,379,gpt2,tam
327,12,73,327,gpt2,tam
362,14,80,362,gpt2,tam
489,19,113,489,gpt2,tam
309,12,73,309,gpt2,tam
488,18,114,488,gpt2,tam
511,23,129,512,gpt2,tam
513,21,119,513,gpt2,tam
439,17,104,442,gpt2,tam
425,17,98,425,gpt2,tam
463,19,106,463,gpt2,tam
652,25,151,653,gpt2,tam
302,14,73,302,gpt2,tam
371,16,85,371,gpt2,tam
316,15,79,316,gpt2,tam
452,19,105,452,gpt2,tam
359,15,82,359,gpt2,tam
428,17,102,429,gpt2,tam
553,20,130,553,gpt2,tam
594,28,143,594,gpt2,tam
323,13,73,323,gpt2,tam
466,19,110,468,gpt2,tam
358,16,91,364,gpt2,tam
1042,41,254,1047,gpt2,tam
442,19,104,442,gpt2,tam
700,26,163,700,gpt2,tam
612,23,148,616,gpt2,tam
292,12,73,292,gpt2,tam
378,14,83,378,gpt2,tam
326,14,83,330,gpt2,tam
371,14,86,371,gpt2,tam
970,36,233,970,gpt2,tam
228,7,53,230,gpt2,tam
532,23,128,532,gpt2,tam
599,22,142,599,gpt2,tam
303,11,73,303,gpt2,tam
309,12,78,312,gpt2,tam
490,17,115,491,gpt2,tam
230,8,54,230,gpt2,tam
576,20,135,577,gpt2,tam
529,17,120,529,gpt2,tam
564,23,130,564,gpt2,tam
627,23,147,627,gpt2,tam
694,31,165,695,gpt2,tam
299,14,85,309,gpt2,tam
278,14,67,279,gpt2,tam
471,21,112,473,gpt2,tam
354,17,89,356,gpt2,tam
399,17,97,399,gpt2,tam
317,14,76,317,gpt2,tam
220,9,54,220,gpt2,tam
407,17,97,407,gpt2,tam
364,13,84,364,gpt2,tam
496,28,137,501,gpt2,tam
383,15,90,383,gpt2,tam
346,13,80,346,gpt2,tam
239,8,52,239,gpt2,tam
297,11,68,297,gpt2,tam
459,17,104,459,gpt2,tam
421,15,96,421,gpt2,tam
459,22,123,466,gpt2,tam
357,17,90,358,gpt2,tam
314,11,71,314,gpt2,tam
348,15,84,348,gpt2,tam
222,8,51,222,gpt2,tam
412,14,91,412,gpt2,tam
501,19,118,501,gpt2,tam
741,30,171,741,gpt2,tam
351,12,80,351,gpt2,tam
262,9,61,262,gpt2,tam
370,15,85,370,gpt2,tam
497,17,113,497,gpt2,tam
499,19,121,499,gpt2,tam
417,16,97,417,gpt2,tam
248,13,63,250,gpt2,tam
309,11,74,309,gpt2,tam
446,20,111,448,gpt2,tam
630,23,142,630,gpt2,tam
488,17,114,488,gpt2,tam
424,17,101,424,gpt2,tam
592,18,133,592,gpt2,tam
348,11,76,348,gpt2,tam
632,24,147,632,gpt2,tam
456,16,104,456,gpt2,tam
571,22,131,571,gpt2,tam
441,14,98,441,gpt2,tam
324,15,78,324,gpt2,tam
579,21,139,579,gpt2,tam
444,17,105,444,gpt2,tam
409,15,100,409,gpt2,tam
575,19,133,575,gpt2,tam
419,17,108,422,gpt2,tam
263,9,63,263,gpt2,tam
436,17,105,436,gpt2,tam
300,11,68,300,gpt2,tam
279,11,68,279,gpt2,tam
259,12,62,259,gpt2,tam
277,12,67,277,gpt2,tam
550,27,139,552,gpt2,tam
215,9,52,215,gpt2,tam
381,19,95,382,gpt2,tam
177,11,47,177,gpt2,tam
273,12,65,275,gpt2,tam
250,13,71,257,gpt2,tam
536,21,122,536,gpt2,tam
433,17,102,433,gpt2,tam
313,18,80,316,gpt2,tam
284,11,68,284,gpt2,tam
418,16,93,418,gpt2,tam
181,7,42,181,gpt2,tam
739,28,171,739,gpt2,tam
462,18,106,462,gpt2,tam
472,23,117,474,gpt2,tam
372,18,98,373,gpt2,tam
355,14,87,355,gpt2,tam
280,10,67,280,gpt2,tam
328,12,77,328,gpt2,tam
389,18,92,389,gpt2,tam
237,11,58,237,gpt2,tam
377,13,86,377,gpt2,tam
331,12,75,331,gpt2,tam
262,12,61,262,gpt2,tam
424,16,97,424,gpt2,tam
337,17,82,338,gpt2,tam
291,13,70,291,gpt2,tam
316,12,73,316,gpt2,tam
286,13,73,291,gpt2,tam
341,13,80,341,gpt2,tam
380,15,92,380,gpt2,tam
341,13,80,341,gpt2,tam
483,19,115,484,gpt2,tam
572,23,136,572,gpt2,tam
360,14,82,360,gpt2,tam
526,22,140,531,gpt2,tam
566,20,130,566,gpt2,tam
587,26,137,587,gpt2,tam
217,9,48,217,gpt2,tam
289,10,65,289,gpt2,tam
277,12,68,277,gpt2,tam
363,12,81,363,gpt2,tam
611,24,142,611,gpt2,tam
295,16,81,303,gpt2,tam
440,19,111,444,gpt2,tam
581,19,129,581,gpt2,tam
413,14,93,413,gpt2,tam
480,20,109,480,gpt2,tam
487,17,112,487,gpt2,tam
361,14,90,366,gpt2,tam
467,18,110,467,gpt2,tam
237,9,53,237,gpt2,tam
456,18,108,456,gpt2,tam
380,15,90,380,gpt2,tam
398,13,93,398,gpt2,tam
552,24,133,552,gpt2,tam
256,11,64,257,gpt2,tam
573,20,130,573,gpt2,tam
365,13,85,365,gpt2,tam
550,21,127,551,gpt2,tam
472,21,114,472,gpt2,tam
665,23,152,665,gpt2,tam
526,19,116,526,gpt2,tam
686,26,167,686,gpt2,tam
647,22,148,648,gpt2,tam
419,16,98,419,gpt2,tam
652,24,166,663,gpt2,tam
421,16,94,421,gpt2,tam
707,27,180,717,gpt2,tam
463,21,110,463,gpt2,tam
338,13,76,338,gpt2,tam
375,13,87,375,gpt2,tam
370,18,92,370,gpt2,tam
373,12,86,373,gpt2,tam
264,9,59,264,gpt2,tam
269,9,64,269,gpt2,tam
401,16,98,401,gpt2,tam
273,11,63,273,gpt2,tam
487,18,109,489,gpt2,tam
252,9,55,252,gpt2,tam
370,12,85,370,gpt2,tam
241,10,56,241,gpt2,tam
480,19,110,480,gpt2,tam
422,18,104,425,gpt2,tam
543,21,131,545,gpt2,tam
369,15,88,372,gpt2,tam
474,19,110,475,gpt2,tam
257,11,62,258,gpt2,tam
666,25,152,666,gpt2,tam
295,13,68,295,gpt2,tam
388,16,93,391,gpt2,tam
451,16,100,456,gpt2,tam
358,15,86,358,gpt2,tam
403,17,98,409,gpt2,tam
340,12,87,344,gpt2,tam
440,20,107,440,gpt2,tam
348,14,91,351,gpt2,tam
312,13,76,315,gpt2,tam
355,14,83,355,gpt2,tam
570,22,130,571,gpt2,tam
358,17,95,364,gpt2,tam
356,12,88,362,gpt2,tam
296,12,69,296,gpt2,tam
557,21,124,558,gpt2,tam
407,16,93,407,gpt2,tam
472,16,104,472,gpt2,tam
287,10,60,287,gpt2,tam
347,12,79,347,gpt2,tam
625,22,145,625,gpt2,tam
359,17,94,367,gpt2,tam
459,17,110,459,gpt2,tam
455,22,110,455,gpt2,tam
288,14,79,295,gpt2,tam
440,20,120,450,gpt2,tam
723,28,172,731,gpt2,tam
354,11,78,354,gpt2,tam
250,10,62,250,gpt2,tam
342,18,95,350,gpt2,tam
521,22,119,521,gpt2,tam
277,16,80,284,gpt2,tam
426,19,114,436,gpt2,tam
341,14,83,345,gpt2,tam
521,19,116,521,gpt2,tam
458,18,104,458,gpt2,tam
499,19,114,500,gpt2,tam
238,9,53,238,gpt2,tam
352,13,83,354,gpt2,tam
270,12,62,270,gpt2,tam
280,12,64,280,gpt2,tam
189,9,46,189,gpt2,tam
397,15,87,397,gpt2,tam
376,15,95,380,gpt2,tam
301,13,71,302,gpt2,tam
487,16,108,487,gpt2,tam
516,20,118,516,gpt2,tam
438,14,95,438,gpt2,tam
341,13,76,341,gpt2,tam
262,14,67,265,gpt2,tam
577,26,134,577,gpt2,tam
310,15,77,310,gpt2,tam
484,16,107,484,gpt2,tam
634,20,150,639,gpt2,tam
352,15,83,352,gpt2,tam
571,21,138,571,gpt2,tam
544,22,130,544,gpt2,tam
289,16,79,293,gpt2,tam
193,9,56,201,gpt2,tam
494,21,122,496,gpt2,tam
360,16,89,363,gpt2,tam
387,19,95,390,gpt2,tam
339,14,83,339,gpt2,tam
394,18,95,395,gpt2,tam
403,16,94,403,gpt2,tam
400,16,91,400,gpt2,tam
316,13,75,316,gpt2,tam
418,20,109,424,gpt2,tam
276,11,65,276,gpt2,tam
396,16,93,396,gpt2,tam
534,21,130,539,gpt2,tam
305,12,72,305,gpt2,tam
329,13,79,329,gpt2,tam
385,13,88,385,gpt2,tam
485,22,121,487,gpt2,tam
418,16,97,418,gpt2,tam
404,17,99,404,gpt2,tam
452,18,103,452,gpt2,tam
534,20,124,534,gpt2,tam
526,23,126,526,gpt2,tam
436,19,107,437,gpt2,tam
307,13,73,307,gpt2,tam
555,21,125,555,gpt2,tam
382,15,86,382,gpt2,tam
282,11,63,282,gpt2,tam
256,10,57,256,gpt2,tam
535,18,119,535,gpt2,tam
599,18,136,601,gpt2,tam
643,23,149,643,gpt2,tam
442,17,105,442,gpt2,tam
547,18,128,547,gpt2,tam
438,20,108,438,gpt2,tam
382,18,90,382,gpt2,tam
291,11,65,291,gpt2,tam
372,18,87,372,gpt2,tam
377,15,87,377,gpt2,tam
322,12,76,322,gpt2,tam
437,15,102,437,gpt2,tam
393,17,92,393,gpt2,tam
421,14,94,421,gpt2,tam
458,24,119,459,gpt2,tam
315,16,83,322,gpt2,tam
325,15,82,328,gpt2,tam
419,16,100,423,gpt2,tam
498,19,116,502,gpt2,tam
437,20,117,448,gpt2,tam
418,20,104,418,gpt2,tam
516,22,119,516,gpt2,tam
372,15,89,374,gpt2,tam
254,11,61,254,gpt2,tam
284,13,70,284,gpt2,tam
597,25,136,597,gpt2,tam
265,10,60,265,gpt2,tam
471,16,107,471,gpt2,tam
391,16,92,391,gpt2,tam
376,13,86,376,gpt2,tam
412,16,96,412,gpt2,tam
618,21,139,618,gpt2,tam
480,19,111,480,gpt2,tam
638,32,169,647,gpt2,tam
410,18,97,410,gpt2,tam
579,22,133,579,gpt2,tam
369,13,82,369,gpt2,tam
560,23,134,560,gpt2,tam
504,16,110,504,gpt2,tam
302,13,72,302,gpt2,tam
208,9,61,215,gpt2,tam
624,21,141,624,gpt2,tam
433,21,111,437,gpt2,tam
415,17,95,415,gpt2,tam
791,31,189,792,gpt2,tam
294,12,68,294,gpt2,tam
461,15,105,461,gpt2,tam
622,24,138,622,gpt2,tam
259,11,61,259,gpt2,tam
547,24,130,547,gpt2,tam
514,21,117,515,gpt2,tam
564,19,128,564,gpt2,tam
716,25,156,716,gpt2,tam
490,19,121,494,gpt2,tam
320,15,82,325,gpt2,tam
576,20,134,582,gpt2,tam
387,13,88,387,gpt2,tam
646,25,152,651,gpt2,tam
184,7,39,184,gpt2,tam
437,19,103,438,gpt2,tam
570,25,134,570,gpt2,tam
242,10,58,242,gpt2,tam
421,18,99,421,gpt2,tam
551,21,127,551,gpt2,tam
494,19,123,497,gpt2,tam
355,15,84,355,gpt2,tam
381,16,91,381,gpt2,tam
493,18,111,493,gpt2,tam
638,24,148,638,gpt2,tam
296,15,84,305,gpt2,tam
623,25,156,627,gpt2,tam
405,17,98,405,gpt2,tam
409,15,97,409,gpt2,tam
402,14,93,402,gpt2,tam
226,9,53,226,gpt2,tam
444,16,105,444,gpt2,tam
554,24,131,554,gpt2,tam
425,18,99,425,gpt2,tam
644,26,151,644,gpt2,tam
387,16,92,387,gpt2,tam
517,18,118,517,gpt2,tam
311,13,71,311,gpt2,tam
304,12,72,307,gpt2,tam
338,12,77,338,gpt2,tam
402,20,101,403,gpt2,tam
409,16,95,409,gpt2,tam
466,18,106,466,gpt2,tam
464,17,110,465,gpt2,tam
273,9,63,273,gpt2,tam
274,12,69,279,gpt2,tam
422,16,96,422,gpt2,tam
361,16,89,361,gpt2,tam
426,19,101,426,gpt2,tam
372,14,85,372,gpt2,tam
293,10,66,293,gpt2,tam
558,19,125,558,gpt2,tam
432,18,101,434,gpt2,tam
378,12,86,378,gpt2,tam
582,20,126,582,gpt2,tam
509,16,108,509,gpt2,tam
321,11,70,321,gpt2,tam
308,13,73,308,gpt2,tam
302,12,69,302,gpt2,tam
403,18,96,403,gpt2,tam
237,8,54,237,gpt2,tam
231,6,49,231,gpt2,tam
492,20,125,498,gpt2,tam
447,17,102,450,gpt2,tam
385,15,88,385,gpt2,tam
272,9,61,272,gpt2,tam
439,18,108,444,gpt2,tam
329,15,84,331,gpt2,tam
327,13,75,327,gpt2,tam
525,18,113,525,gpt2,tam
372,14,86,372,gpt2,tam
314,13,75,314,gpt2,tam
353,12,81,353,gpt2,tam
408,15,95,408,gpt2,tam
389,16,91,389,gpt2,tam
188,8,45,188,gpt2,tam
385,16,98,389,gpt2,tam
151,4,35,151,gpt2,tam
435,19,108,435,gpt2,tam
235,12,58,236,gpt2,tam
453,20,109,455,gpt2,tam
460,14,102,460,gpt2,tam
408,17,97,408,gpt2,tam
268,10,60,268,gpt2,tam
559,22,131,559,gpt2,tam
714,25,166,714,gpt2,tam
429,19,103,429,gpt2,tam
580,26,139,580,gpt2,tam
496,20,122,496,gpt2,tam
418,17,102,418,gpt2,tam
424,18,101,424,gpt2,tam
535,20,127,535,gpt2,tam
521,23,129,523,gpt2,tam
541,21,126,541,gpt2,tam
399,17,94,399,gpt2,tam
522,20,123,522,gpt2,tam
292,11,67,292,gpt2,tam
152,8,39,152,gpt2,tam
681,24,162,684,gpt2,tam
422,14,93,422,gpt2,tam
157,7,37,157,gpt2,tam
523,21,124,524,gpt2,tam
401,16,99,401,gpt2,tam
829,33,202,831,gpt2,tam
321,12,74,321,gpt2,tam
244,9,58,244,gpt2,tam
179,8,42,179,gpt2,tam
515,19,121,515,gpt2,tam
227,10,53,230,gpt2,tam
356,16,87,357,gpt2,tam
662,25,152,662,gpt2,tam
508,18,122,508,gpt2,tam
439,16,101,439,gpt2,tam
290,11,67,290,gpt2,tam
526,19,116,526,gpt2,tam
424,14,97,424,gpt2,tam
293,10,68,293,gpt2,tam
623,22,146,623,gpt2,tam
275,7,61,275,gpt2,tam
600,24,152,605,gpt2,tam
249,9,56,249,gpt2,tam
527,23,126,527,gpt2,tam
425,18,104,425,gpt2,tam
242,11,60,242,gpt2,tam
425,18,104,425,gpt2,tam
356,15,84,361,gpt2,tam
708,24,161,708,gpt2,tam
189,8,44,189,gpt2,tam
651,27,155,651,gpt2,tam
526,20,126,527,gpt2,tam
478,23,116,478,gpt2,tam
336,13,80,339,gpt2,tam
303,12,69,303,gpt2,tam
519,18,118,519,gpt2,tam
415,13,95,415,gpt2,tam
354,15,86,355,gpt2,tam
366,17,89,368,gpt2,tam
231,9,55,231,gpt2,tam
391,15,93,391,gpt2,tam
303,11,67,303,gpt2,tam
415,18,97,415,gpt2,tam
406,14,97,406,gpt2,tam
591,25,146,591,gpt2,tam
335,12,80,335,gpt2,tam
307,13,71,308,gpt2,tam
213,9,48,213,gpt2,tam
524,17,123,524,gpt2,tam
325,13,82,329,gpt2,tam
336,12,81,340,gpt2,tam
435,16,98,435,gpt2,tam
556,23,139,562,gpt2,tam
388,16,92,388,gpt2,tam
293,11,63,293,gpt2,tam
237,9,53,237,gpt2,tam
532,21,125,532,gpt2,tam
215,8,50,215,gpt2,tam
316,12,71,316,gpt2,tam
497,16,115,497,gpt2,tam
250,10,59,250,gpt2,tam
441,16,106,441,gpt2,tam
607,20,139,607,gpt2,tam
251,10,58,251,gpt2,tam
377,14,85,377,gpt2,tam
346,14,86,346,gpt2,tam
482,19,109,482,gpt2,tam
379,18,92,379,gpt2,tam
350,13,80,350,gpt2,tam
273,10,64,273,gpt2,tam
374,18,91,374,gpt2,tam
287,10,66,287,gpt2,tam
543,17,119,543,gpt2,tam
298,17,85,308,gpt2,tel
651,28,130,651,gpt2,tel
507,26,119,509,gpt2,tel
698,32,152,702,gpt2,tel
472,26,112,477,gpt2,tel
303,18,70,306,gpt2,tel
110,7,28,114,gpt2,tel
376,18,82,380,gpt2,tel
136,8,46,148,gpt2,tel
221,11,44,221,gpt2,tel
483,20,99,484,gpt2,tel
484,23,103,487,gpt2,tel
417,17,86,427,gpt2,tel
549,21,104,551,gpt2,tel
576,29,125,580,gpt2,tel
534,21,112,546,gpt2,tel
572,26,127,578,gpt2,tel
282,17,72,287,gpt2,tel
410,22,108,425,gpt2,tel
682,39,175,704,gpt2,tel
268,13,51,268,gpt2,tel
214,10,44,214,gpt2,tel
554,24,111,554,gpt2,tel
536,28,121,539,gpt2,tel
448,19,87,448,gpt2,tel
248,13,54,248,gpt2,tel
393,18,92,404,gpt2,tel
545,24,114,545,gpt2,tel
319,18,67,319,gpt2,tel
222,10,48,222,gpt2,tel
598,32,136,600,gpt2,tel
640,32,141,640,gpt2,tel
319,19,74,319,gpt2,tel
417,23,89,417,gpt2,tel
226,10,47,226,gpt2,tel
207,10,52,213,gpt2,tel
469,23,101,469,gpt2,tel
317,13,67,323,gpt2,tel
289,13,54,290,gpt2,tel
173,8,34,173,gpt2,tel
420,20,84,422,gpt2,tel
208,9,48,213,gpt2,tel
238,14,73,250,gpt2,tel
185,10,54,194,gpt2,tel
237,12,50,238,gpt2,tel
393,17,85,399,gpt2,tel
392,19,89,405,gpt2,tel
227,13,55,227,gpt2,tel
334,14,71,338,gpt2,tel
309,16,77,314,gpt2,tel
179,11,43,184,gpt2,tel
392,22,95,397,gpt2,tel
296,17,84,318,gpt2,tel
432,21,84,432,gpt2,tel
599,28,129,601,gpt2,tel
554,27,108,558,gpt2,tel
601,27,119,605,gpt2,tel
487,24,106,492,gpt2,tel
306,13,65,317,gpt2,tel
226,10,46,227,gpt2,tel
267,13,66,276,gpt2,tel
301,16,66,301,gpt2,tel
338,17,73,338,gpt2,tel
518,23,112,522,gpt2,tel
425,20,93,434,gpt2,tel
293,17,67,302,gpt2,tel
300,14,57,300,gpt2,tel
329,16,69,332,gpt2,tel
232,15,72,247,gpt2,tel
357,20,75,357,gpt2,tel
299,14,61,299,gpt2,tel
614,32,135,620,gpt2,tel
486,21,114,497,gpt2,tel
556,25,133,579,gpt2,tel
379,20,101,401,gpt2,tel
421,18,83,421,gpt2,tel
502,22,104,505,gpt2,tel
289,10,58,289,gpt2,tel
104,8,41,115,gpt2,tel
439,20,89,443,gpt2,tel
287,14,67,293,gpt2,tel
252,13,55,255,gpt2,tel
263,16,80,283,gpt2,tel
387,20,87,389,gpt2,tel
147,8,33,149,gpt2,tel
327,13,61,328,gpt2,tel
532,30,148,539,gpt2,tel
459,21,95,460,gpt2,tel
343,15,70,343,gpt2,tel
344,17,68,344,gpt2,tel
307,11,61,307,gpt2,tel
350,14,65,350,gpt2,tel
385,22,84,385,gpt2,tel
182,8,35,182,gpt2,tel
402,16,81,402,gpt2,tel
267,14,56,267,gpt2,tel
305,13,61,307,gpt2,tel
265,14,65,268,gpt2,tel
321,18,82,327,gpt2,tel
352,16,79,357,gpt2,tel
245,13,54,249,gpt2,tel
411,21,101,422,gpt2,tel
402,23,97,411,gpt2,tel
225,9,44,225,gpt2,tel
253,12,49,253,gpt2,tel
301,13,53,301,gpt2,tel
179,7,33,181,gpt2,tel
451,24,124,475,gpt2,tel
463,22,116,481,gpt2,tel
221,12,49,225,gpt2,tel
243,11,53,245,gpt2,tel
156,9,35,156,gpt2,tel
185,9,38,186,gpt2,tel
209,10,42,209,gpt2,tel
552,26,113,552,gpt2,tel
435,21,87,436,gpt2,tel
499,21,99,499,gpt2,tel
369,18,77,371,gpt2,tel
156,10,41,161,gpt2,tel
539,25,121,543,gpt2,tel
286,22,125,338,gpt2,tel
397,23,99,401,gpt2,tel
257,10,54,257,gpt2,tel
177,11,39,178,gpt2,tel
217,13,50,221,gpt2,tel
468,19,102,477,gpt2,tel
152,8,32,152,gpt2,tel
479,18,100,479,gpt2,tel
325,13,68,325,gpt2,tel
341,18,81,341,gpt2,tel
283,12,65,287,gpt2,tel
465,24,100,465,gpt2,tel
397,18,89,402,gpt2,tel
285,11,53,285,gpt2,tel
164,11,50,175,gpt2,tel
301,12,58,301,gpt2,tel
183,10,46,186,gpt2,tel
220,10,50,223,gpt2,tel
271,13,63,271,gpt2,tel
253,13,57,257,gpt2,tel
442,18,90,442,gpt2,tel
371,19,86,372,gpt2,tel
338,13,66,338,gpt2,tel
287,13,55,287,gpt2,tel
210,12,53,214,gpt2,tel
351,16,71,351,gpt2,tel
338,13,67,343,gpt2,tel
362,17,72,362,gpt2,tel
288,14,61,288,gpt2,tel
314,14,65,314,gpt2,tel
355,17,67,355,gpt2,tel
322,20,115,362,gpt2,tel
399,22,94,404,gpt2,tel
298,16,64,304,gpt2,tel
321,14,78,336,gpt2,tel
385,18,78,385,gpt2,tel
519,26,103,519,gpt2,tel
273,11,56,273,gpt2,tel
332,21,92,349,gpt2,tel
261,11,49,263,gpt2,tel
202,12,58,208,gpt2,tel
962,44,202,969,gpt2,tel
446,22,96,446,gpt2,tel
313,16,65,313,gpt2,tel
181,7,29,181,gpt2,tel
618,29,141,623,gpt2,tel
467,18,87,467,gpt2,tel
314,20,89,334,gpt2,tel
499,25,112,507,gpt2,tel
293,18,74,299,gpt2,tel
343,16,69,343,gpt2,tel
206,9,44,209,gpt2,tel
189,12,52,198,gpt2,tel
273,14,55,273,gpt2,tel
343,15,89,351,gpt2,tel
263,11,53,263,gpt2,tel
447,17,79,451,gpt2,tel
256,18,79,272,gpt2,tel
